date,close,volume,open,high,low,symbol
2024-04-09,85.354,503547400,87.442,87.635,83.022,NVDA
2024-04-08,87.133,283220000,88.7,88.83,86.732,NVDA
2024-04-05,88.008,399678500,86.866,88.481,85.926,NVDA
2024-04-04,85.905,434964900,90.406,90.634,85.88,NVDA
2024-04-03,88.964,370066600,88.484,90.374,88.4,NVDA
2024-04-02,89.452,433063600,88.448,90.094,87.62,NVDA
2024-04-01,90.363,452441500,90.299,92.225,89.204,NVDA
2024-03-28,90.356,435212300,90.0,91.3,89.193,NVDA
2024-03-27,90.25,586067200,93.112,93.24,89.123,NVDA
2024-03-26,92.561,513647600,95.851,96.375,92.502,NVDA
2024-03-25,95.002,552136100,93.941,96.766,93.51,NVDA
2024-03-22,94.289,586719400,91.141,94.778,90.834,NVDA
2024-03-21,91.435,480372300,92.3,92.648,90.405,NVDA
2024-03-20,90.372,479062800,89.797,90.41,88.223,NVDA
2024-03-19,89.398,672171300,86.7,90.544,85.01,NVDA
2024-03-18,88.455,668975900,90.388,92.405,87.085,NVDA
2024-03-15,87.8365,642086200,86.93,89.546,86.257,NVDA
2024-03-14,87.944,602318200,89.577,90.646,86.6,NVDA
2024-03-13,90.888,635712900,91.055,91.504,88.435,NVDA
2024-03-12,91.913,668075200,88.049,91.96,86.1501,NVDA
2024-03-11,85.774,678364100,86.429,88.797,84.166,NVDA
2024-03-08,87.528,1142269000,95.1379,97.4,86.506,NVDA
2024-03-07,92.669,608119200,90.158,92.767,89.602,NVDA
2024-03-06,88.7,582520300,88.022,89.724,87.03,NVDA
2024-03-05,85.964,520639300,85.27,86.097,83.417,NVDA
2024-03-04,85.237,615616500,84.13,87.695,83.719,NVDA
2024-03-01,82.279,479135100,80.0,82.3,79.435,NVDA
2024-02-29,79.112,507289000,79.094,79.99,78.35,NVDA
2024-02-28,77.663,393110400,77.62,78.933,77.125,NVDA
2024-02-27,78.701,391705200,79.381,79.48,77.162,NVDA
2024-02-26,79.092,503972700,79.7,80.646,78.505,NVDA
2024-02-23,78.817,829388400,80.79,82.394,77.57,NVDA
2024-02-22,78.538,865099700,75.025,78.575,74.22,NVDA
2024-02-21,67.472,690298100,68.006,68.888,66.248,NVDA
2024-02-20,69.452,704833100,71.947,71.956,67.734,NVDA
2024-02-16,72.613,495326600,74.1,74.402,72.501,NVDA
2024-02-15,72.658,420121800,73.869,73.975,72.4,NVDA
2024-02-14,73.9,504917400,73.202,74.236,71.938,NVDA
2024-02-13,72.128,602580200,70.4,73.45,69.62,NVDA
2024-02-12,72.248,613710200,72.6,74.611,71.25,NVDA
2024-02-09,72.133,436636900,70.533,72.185,70.212,NVDA
2024-02-08,69.641,414422100,70.074,70.794,69.455,NVDA
2024-02-07,70.099,495574600,68.319,70.22,67.6,NVDA
2024-02-06,68.223,683111400,69.63,69.754,66.3,NVDA
2024-02-05,69.332,680078000,68.225,69.497,67.205,NVDA
2024-02-02,66.16,476577700,63.974,66.6,63.69,NVDA
2024-02-01,63.027,369145800,62.1,63.191,61.65,NVDA
2024-01-31,61.527,453794900,61.44,62.269,60.7,NVDA
2024-01-30,62.774,410735300,62.9,63.493,62.26,NVDA
2024-01-29,62.465,348733000,61.232,62.489,60.907,NVDA
2024-01-26,61.031,390308600,60.96,61.783,60.573,NVDA
2024-01-25,61.617,482776800,62.35,62.719,60.85,NVDA
2024-01-24,61.362,560270800,60.304,62.849,59.938,NVDA
2024-01-23,59.873,294654500,59.57,59.91,58.585,NVDA
2024-01-22,59.654,452954600,60.049,60.331,59.07,NVDA
2024-01-19,59.491,543501500,57.989,59.5,57.225,NVDA
2024-01-18,57.107,491650400,57.26,57.6,56.107,NVDA
